Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,CylindersinEngine,DriveType,FuelType,FuelConsumption,Kilometres,Location,States,BodyType,Price
Ssangyong,2022,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,2.2,4,AWD,Diesel,8.7,5595,"Caringbah, NSW",NSW,SUV,51990
MG,2022,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,1.5,4,Front,Premium,6.7,16,"Brookvale, NSW",NSW,Hatchback,19990
BMW,2022,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,2,4,Rear,Premium,6.6,8472,"Sylvania, NSW",NSW,Coupe,108988
Mercedes-Benz,2011,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,5.5,8,Rear,Premium,11,136517,"Mount Druitt, NSW",NSW,Coupe,32990
Renault,2022,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,1.3,4,Front,Unleaded,6,1035,"Castle Hill, NSW",NSW,SUV,34990
Toyota,2004,Estima,ON FOUR WHEELS,2004 Toyota Estima T EDITION,USED,Automatic,,,Other,Unleaded,,160230,"Saint Marys, NSW",NSW,Van,9990
Land Rover,2017,Evoque,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,2,4,AWD,Diesel,5.1,67662,"Blacktown, NSW",NSW,SUV,62280
Nissan,2000,Pulsar,Hatchback,2000 Nissan Pulsar LX,USED,Automatic,1.6,4,Front,Unleaded,8,300539,"Wentworthville, NSW",NSW,Hatchback,2995
Toyota,2013,86,Coupe,2013 Toyota 86 GT,USED,Automatic,2,4,Rear,Premium,7.1,82012,"Mcgraths Hill, NSW",NSW,Coupe,24888
Honda,2014,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,1.3,4,Front,Hybrid,4.5,38229,"Lidcombe, NSW",NSW,Hatchback,17900
Toyota,2009,Hiace,Carbarn,2009 Toyota Hiace (No Badge),USED,Automatic,,,Other,Unleaded,,148190,"Lidcombe, NSW",NSW,Van,42500
Toyota,2018,Hiace,Commercial,2018 Toyota Hiace LWB,USED,Automatic,2.7,4,Rear,Unleaded,9.8,16324,"Lidcombe, NSW",NSW,Van,41999
Honda,2015,City,USED Dealer ad,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,USED,Automatic,,,Other,Unleaded,,181745,"Rouse Hill, NSW",NSW,Sedan,11999
Toyota,2017,Hiace,USED Dealer ad,2017 Toyota Hiace,USED,Automatic,,,Other,-,,136296,"Lidcombe, NSW",NSW,Van,38999
Toyota,2016,Hiace,Commercial,2016 Toyota Hiace LWB,USED,Automatic,3,4,Rear,Diesel,8,229829,"Lidcombe, NSW",NSW,Van,27995
Volkswagen,2012,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,1.4,4,Front,Premium,6.2,55676,"Five Dock, NSW",NSW,Hatchback,14999
BMW,2014,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,2,4,4WD,Diesel,5.6,82624,"Haberfield, NSW",NSW,SUV,24985
Mitsubishi,2013,Outlander,Exclusive Autohaus,2013 Mitsubishi Outlander ES,USED,Manual,,,Other,-,,120020,"Blacktown, NSW",NSW,Wagon,13999
BMW,2011,118D,Hatchback,2011 BMW 118D,USED,Automatic,2,4,Rear,Diesel,5.4,95204,"Five Dock, NSW",NSW,Hatchback,13999
Ford,2014,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,1,3,Front,Unleaded,5.4,76289,"Cabramatta, NSW",NSW,Hatchback,12400
Mitsubishi,2012,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,2.4,4,AWD,Unleaded,7.5,219681,"Blacktown, NSW",NSW,SUV,13999
Ford,2013,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,1.6,4,Front,Unleaded,6.1,98079,"Blacktown, NSW",NSW,Hatchback,11999
Volkswagen,2023,Amarok,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,3,6,AWD,Diesel,8.4,15,"Blacktown, NSW",NSW,UTE,83887
Honda,2018,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,1.5,4,Front,Unleaded,5.8,43274,"Castle Hill, NSW",NSW,Hatchback,19900
Subaru,2012,Outback,SUV,2012 Subaru Outback 2.5I,USED,Automatic,2.5,4,AWD,Premium,8.4,105672,"Glebe, NSW",NSW,SUV,17990
Mitsubishi,2018,Mirage,Hatchback,2018 Mitsubishi Mirage ES,USED,Automatic,1.2,3,Front,Unleaded,4.7,36836,"Camden, NSW",NSW,Hatchback,14995
Toyota,2005,Camry,Sedan,2005 Toyota Camry Altise,USED,Automatic,2.4,4,Front,Unleaded,9.8,115821,"Lansvale, NSW",NSW,Sedan,8499
BMW,2013,3 Series,USED Dealer ad,2013 BMW 3 Series 28i,USED,Automatic,,,Other,Unleaded,,143119,"Rouse Hill, NSW",NSW,Sedan,21999
Hyundai,2011,I45,Sedan,2011 Hyundai I45 Active,USED,Automatic,2.4,4,Front,Unleaded,7.9,189711,"Croydon, NSW",NSW,Sedan,12990
Ford,2015,Territory,SUV,2015 Ford Territory TS (rwd),USED,Automatic,2.7,6,Rear,Diesel,8.2,173786,"Blacktown, NSW",NSW,SUV,16999
Nissan,2018,Qashqai,SUV,2018 Nissan Qashqai ST,USED,Automatic,2,4,Front,Unleaded,6.9,114301,"Pendle Hill, NSW",NSW,SUV,21950
Volkswagen,2013,Golf,Hatchback,2013 Volkswagen Golf GTI,USED,Manual,2,4,Front,Premium,6.6,69197,"Blacktown, NSW",NSW,Hatchback,24880
Volkswagen,2023,T-Cross,NEW In stock,2023 Volkswagen T-Cross 85TSI DSG FWD Life,NEW,Automatic,,,Front,Premium,,15,"Blacktown, NSW",NSW,Wagon,35887
