Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,States,CylindersinEngine,BodyType,Doors,Seats,Price
Ssangyong,2022.0,2022 Ssangyong Rexton Ultimate (awd),Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7 L / 100 km,5595,White / Black,"Caringbah, NSW",NSW,4 cyl,SUV, 4 Doors, 7 Seats,51990
MG,2022.0,2022 MG MG3 Auto Excite (with Navigation),Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7 L / 100 km,16,Black / Black,"Brookvale, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,19990
BMW,2022.0,2022 BMW 430I M Sport,Coupe,2022 BMW 430I M Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.6 L / 100 km,8472,Grey / White,"Sylvania, NSW",NSW,4 cyl,Coupe, 2 Doors, 4 Seats,108988
Mercedes-Benz,2011.0,2011 Mercedes-Benz E500 Elegance,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,"8 cyl, 5.5 L",Rear,Premium,11 L / 100 km,136517,White / Brown,"Mount Druitt, NSW",NSW,8 cyl,Coupe, 2 Doors, 4 Seats,32990
Renault,2022.0,2022 Renault Arkana Intens,SUV,2022 Renault Arkana Intens,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6 L / 100 km,1035,Grey / Black,"Castle Hill, NSW",NSW,4 cyl,SUV, 4 Doors, 5 Seats,34990
Toyota,2004.0,2004 Toyota Estima T EDITION,ON FOUR WHEELS,2004 Toyota Estima T EDITION,USED,Automatic,-,Other,Unleaded,-,160230,Grey / -,"Saint Marys, NSW",NSW,-,Van,,,9990
Land Rover,2017.0,Evoque,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1 L / 100 km,67662,White / Black,"Blacktown, NSW",NSW,4 cyl,SUV, 2 Doors, 4 Seats,62280
Nissan,2000.0,2000 Nissan Pulsar LX,Hatchback,2000 Nissan Pulsar LX,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,8 L / 100 km,300539,Red / Grey,"Wentworthville, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,2995
Toyota,2013.0,2013 Toyota 86 GT,Coupe,2013 Toyota 86 GT,USED,Automatic,"4 cyl, 2 L",Rear,Premium,7.1 L / 100 km,82012,Black / -,"Mcgraths Hill, NSW",NSW,4 cyl,Coupe, 2 Doors, 4 Seats,24888
Honda,2014.0,2014 Honda Jazz Hybrid,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,"4 cyl, 1.3 L",Front,Hybrid,4.5 L / 100 km,38229,Blue / -,"Lidcombe, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,17900
Toyota,2009.0,2009 Toyota Hiace (No Badge),Carbarn,2009 Toyota Hiace (No Badge),USED,Automatic,-,Other,Unleaded,-,148190,White / -,"Lidcombe, NSW",NSW,-,Van,,,42500
Toyota,2018.0,2018 Toyota Hiace LWB,Commercial,2018 Toyota Hiace LWB,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,9.8 L / 100 km,16324,White / Grey,"Lidcombe, NSW",NSW,4 cyl,Van, 4 Doors, 2 Seats,41999
Honda,2015.0,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,USED Dealer ad,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,USED,Automatic,-,Other,Unleaded,-,181745,Black / -,"Rouse Hill, NSW",NSW,-,Sedan,,,11999
Toyota,2017.0,2017 Toyota Hiace,USED Dealer ad,2017 Toyota Hiace,USED,Automatic,-,Other,-,-,136296,Silver / Grey,"Lidcombe, NSW",NSW,-,Van,,,38999
Toyota,2016.0,2016 Toyota Hiace LWB,Commercial,2016 Toyota Hiace LWB,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,8 L / 100 km,229829,White / Grey,"Lidcombe, NSW",NSW,4 cyl,Van, 4 Doors, 2 Seats,27995
Volkswagen,2012.0,2012 Volkswagen Golf 90 TSI Trendline,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.2 L / 100 km,55676,White / Black,"Five Dock, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,14999
BMW,2014.0,2014 BMW X3 Xdrive 20D,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6 L / 100 km,82624,Black / Black,"Haberfield, NSW",NSW,4 cyl,SUV, 4 Doors, 5 Seats,24985
Mitsubishi,2013.0,2013 Mitsubishi Outlander ES,Exclusive Autohaus,2013 Mitsubishi Outlander ES,USED,Manual,-,Other,-,-,120020,Blue / Grey,"Blacktown, NSW",NSW,-,Wagon,,,13999
BMW,2011.0,2011 BMW 118D,Hatchback,2011 BMW 118D,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,5.4 L / 100 km,95204,Silver / -,"Five Dock, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,13999
Ford,2014.0,2014 Ford Fiesta Sport,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.4 L / 100 km,76289,White / Black,"Cabramatta, NSW",NSW,3 cyl,Hatchback, 5 Doors, 5 Seats,12400
Mitsubishi,2012.0,2012 Mitsubishi Outlander LS (4X4),SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.5 L / 100 km,219681,Black / Black,"Blacktown, NSW",NSW,4 cyl,SUV, 4 Doors, 7 Seats,13999
Ford,2013.0,2013 Ford Fiesta Zetec,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.1 L / 100 km,98079,Blue / Black,"Blacktown, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,11999
Volkswagen,2023.0,2023 Volkswagen Amarok Style TDI600 4Motion,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,"6 cyl, 3 L",AWD,Diesel,8.4 L / 100 km,15,White / Black,"Blacktown, NSW",NSW,6 cyl,UTE, 4 Doors, 5 Seats,83887
Honda,2018.0,2018 Honda Jazz VTI,Hatchback,2018 Honda Jazz VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8 L / 100 km,43274,Silver / Black,"Castle Hill, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,19900
Subaru,2012.0,2012 Subaru Outback 2.5I,SUV,2012 Subaru Outback 2.5I,USED,Automatic,"4 cyl, 2.5 L",AWD,Premium,8.4 L / 100 km,105672,Black / -,"Glebe, NSW",NSW,4 cyl,SUV, 4 Doors, 5 Seats,17990
Mitsubishi,2018.0,2018 Mitsubishi Mirage ES,Hatchback,2018 Mitsubishi Mirage ES,USED,Automatic,"3 cyl, 1.2 L",Front,Unleaded,4.7 L / 100 km,36836,Black / -,"Camden, NSW",NSW,3 cyl,Hatchback, 5 Doors, 5 Seats,14995
Toyota,2005.0,2005 Toyota Camry Altise,Sedan,2005 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,9.8 L / 100 km,115821,Silver / Grey,"Lansvale, NSW",NSW,4 cyl,Sedan, 4 Doors, 5 Seats,8499
BMW,2013.0,2013 BMW 3 Series 28i,USED Dealer ad,2013 BMW 3 Series 28i,USED,Automatic,-,Other,Unleaded,-,143119,Black / -,"Rouse Hill, NSW",NSW,-,Sedan,,,21999
Hyundai,2011.0,2011 Hyundai I45 Active,Sedan,2011 Hyundai I45 Active,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.9 L / 100 km,189711,Silver / Black,"Croydon, NSW",NSW,4 cyl,Sedan, 4 Doors, 5 Seats,12990
Ford,2015.0,2015 Ford Territory TS (rwd),SUV,2015 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2 L / 100 km,173786,Blue / Black,"Blacktown, NSW",NSW,6 cyl,SUV, 4 Doors, 7 Seats,16999
Nissan,2018.0,2018 Nissan Qashqai ST,SUV,2018 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,114301,Blue / -,"Pendle Hill, NSW",NSW,4 cyl,SUV, 4 Doors, 5 Seats,21950
Volkswagen,2013.0,2013 Volkswagen Golf GTI,Hatchback,2013 Volkswagen Golf GTI,USED,Manual,"4 cyl, 2 L",Front,Premium,6.6 L / 100 km,69197,Black / Black,"Blacktown, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,24880
Volkswagen,2023.0,2023 Volkswagen T-Cross 85TSI DSG FWD Life,NEW In stock,2023 Volkswagen T-Cross 85TSI DSG FWD Life,NEW,Automatic,-,Front,Premium,-,15,White / Black,"Blacktown, NSW",NSW,-,Wagon,,,35887
Hyundai,2015.0,2015 Hyundai Tucson Active (fwd),SUV,2015 Hyundai Tucson Active (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,94377,Grey / -,"Mcgraths Hill, NSW",NSW,4 cyl,SUV, 4 Doors, 5 Seats,23888
Ford,2016.0,2016 Ford Focus Trend,Hatchback,2016 Ford Focus Trend,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.2 L / 100 km,94965,White / Black,"Blacktown, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,16999
Nissan,2019.0,2019 Nissan X-Trail ST 7 Seat (2WD),SUV,2019 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,99294,Grey / -,"Blacktown, NSW",NSW,4 cyl,SUV, 4 Doors, 7 Seats,24490
Toyota,2021.0,2021 Toyota Corolla ZR Hybrid,Hatchback,2021 Toyota Corolla ZR Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,13694,Black / -,"Blacktown, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,44878
Toyota,2007.0,2007 Toyota Yaris YRS,Sedan,2007 Toyota Yaris YRS,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.7 L / 100 km,264691,Silver / -,"Lansvale, NSW",NSW,4 cyl,Sedan, 4 Doors, 5 Seats,7949
Jeep,2012.0,2012 Jeep Grand Cherokee WK Laredo Wagon 4dr Spts Auto 5sp 4x4 3.6i,Mr Car,2012 Jeep Grand Cherokee WK Laredo Wagon 4dr Spts Auto 5sp 4x4 3.6i,USED,Automatic,-,Other,Unleaded,-,224839,Red / -,"Rouse Hill, NSW",NSW,-,Wagon,,,13999
Toyota,2010.0,2010 Toyota Corolla Conquest,Hatchback,2010 Toyota Corolla Conquest,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,7.7 L / 100 km,238270,Grey / -,"Smithfield, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,8800
Toyota,2009.0,2009 Toyota Hiace (No Badge),Nippon Motors,2009 Toyota Hiace (No Badge),USED,Automatic,-,Rear,Unleaded,-,76259,White / Black,"Ingleburn, NSW",NSW,-,Van,,,32900
Jeep,2015.0,2015 Jeep Patriot Limited (4X4),SUV,2015 Jeep Patriot Limited (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9.1 L / 100 km,140964,Black / -,"Seven Hills, NSW",NSW,4 cyl,SUV, 4 Doors, 5 Seats,13990
Toyota,2003.0,2003 Toyota Hiace,Commercial,2003 Toyota Hiace,USED,Automatic,"4 cyl, 2.4 L",Rear,Unleaded,0 L / 100 km,266848,White / Grey,"Five Dock, NSW",NSW,4 cyl,Van, 4 Doors, 3 Seats,9999
Volvo,2013.0,2013 Volvo S60 T4 Teknik,Sedan,2013 Volvo S60 T4 Teknik,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.4 L / 100 km,141000,Blue / -,"Blacktown, NSW",NSW,4 cyl,Sedan, 4 Doors, 5 Seats,14999
Mitsubishi,2016.0,2016 Mitsubishi Triton GLX Plus (4X4),Ute / Tray,2016 Mitsubishi Triton GLX Plus (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6 L / 100 km,240402,White / -,"Haberfield, NSW",NSW,4 cyl,UTE, 4 Doors, 5 Seats,22750
Mercedes-Benz,2010.0,2010 Mercedes-Benz E250 CGI Elegance,Coupe,2010 Mercedes-Benz E250 CGI Elegance,USED,Automatic,"4 cyl, 1.8 L",Rear,Premium,7.9 L / 100 km,101126,Black / Tobacco,"Glebe, NSW",NSW,4 cyl,Coupe, 2 Doors, 4 Seats,21950
Mercedes-Benz,2013.0,2013 Mercedes-Benz A250 Sport,Hatchback,2013 Mercedes-Benz A250 Sport,USED,Automatic,"4 cyl, 2 L",Front,Premium,6.6 L / 100 km,117254,White / -,"Five Dock, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,19999
Toyota,2012.0,2012 Toyota 86 GT,Coupe,2012 Toyota 86 GT,USED,Manual,"4 cyl, 2 L",Rear,Premium,7.8 L / 100 km,178747,Silver / Black,"Granville, NSW",NSW,4 cyl,Coupe, 2 Doors, 4 Seats,19900
Mazda,2022.0,2022 Mazda CX-5 Maxx Sport (awd),SUV,2022 Mazda CX-5 Maxx Sport (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.5 L / 100 km,10579,Black / Black,"Five Dock, NSW",NSW,4 cyl,SUV, 4 Doors, 5 Seats,37990
Toyota,2010.0,2010 Toyota Corolla Ascent,Hatchback,2010 Toyota Corolla Ascent,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.7 L / 100 km,167101,Red / -,"Minchinbury, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,12990
Ford,2013.0,2013 Ford Falcon XR6,Sedan,2013 Ford Falcon XR6,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,9.9 L / 100 km,163161,Blue / Black,"Blacktown, NSW",NSW,6 cyl,Sedan, 4 Doors, 5 Seats,16999
Abarth,2021.0,2021 Abarth 595 Competizione,Hatchback,2021 Abarth 595 Competizione,USED,Manual,"4 cyl, 1.4 L",Front,Premium,6 L / 100 km,13200,Black / Black,"Ryde, NSW",NSW,4 cyl,Hatchback, 3 Doors, 4 Seats,36990
Honda,2014.0,2014 Honda CR-V VTI-L (4X4),SUV,2014 Honda CR-V VTI-L (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,8.7 L / 100 km,103211,White / Black Cloth,"Blacktown, NSW",NSW,4 cyl,SUV, 4 Doors, 5 Seats,23880
Toyota,2007.0,2007 Toyota Corolla Ultima,Sedan,2007 Toyota Corolla Ultima,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,177751,Silver / -,"Minchinbury, NSW",NSW,4 cyl,Sedan, 4 Doors, 5 Seats,10990
Toyota,2016.0,2016 Toyota Hiace Commuter,People Mover,2016 Toyota Hiace Commuter,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,10.9 L / 100 km,119614,Silver / Black,"Ingleburn, NSW",NSW,4 cyl,Van, 3 Doors, 14 Seats,44900
Hyundai,2012.0,2012 Hyundai I30 Active,Hatchback,2012 Hyundai I30 Active,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9 L / 100 km,125546,Black / Black Cloth,"Blacktown, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,15880
Mazda,2013.0,2013 Mazda 6 Touring,Sedan,2013 Mazda 6 Touring,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,163000,Grey / Black,"Minchinbury, NSW",NSW,4 cyl,Sedan, 4 Doors, 5 Seats,16995
Toyota,2008.0,2008 Toyota Kluger KX-S (fwd),SUV,2008 Toyota Kluger KX-S (fwd),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,11 L / 100 km,132864,Blue / Black,"Blacktown, NSW",NSW,6 cyl,SUV, 4 Doors, 7 Seats,19880
